domain,quality,n_shots,mean_score,std_score,n_cases
json_extraction,high,1,0.5133,0.3795,10
json_extraction,high,3,0.635,0.3816,10
json_extraction,high,5,0.6475,0.3529,10
json_extraction,high,10,0.8775,0.1895,10
json_extraction,medium,1,0.593,0.3412,10
json_extraction,medium,3,0.5898,0.3266,10
json_extraction,medium,5,0.6148,0.3067,10
json_extraction,medium,10,0.5908,0.3181,10
json_extraction,low,1,0.014,0.0443,10
json_extraction,low,3,0.014,0.0443,10
json_extraction,low,5,0.014,0.0443,10
json_extraction,low,10,0.0,0.0,10
code_debugging,high,1,0.7558,0.1929,10
code_debugging,high,3,0.7529,0.1271,10
code_debugging,high,5,0.7404,0.1752,10
code_debugging,high,10,0.7799,0.1606,10
code_debugging,medium,1,0.7756,0.2317,10
code_debugging,medium,3,0.7842,0.1751,10
code_debugging,medium,5,0.7972,0.2338,10
code_debugging,medium,10,0.7555,0.2331,10
code_debugging,low,1,0.6432,0.2921,10
code_debugging,low,3,0.7479,0.1561,10
code_debugging,low,5,0.6546,0.2888,10
code_debugging,low,10,0.6005,0.2899,10
math_word_problems,high,1,1.0,0.0,10
math_word_problems,high,3,1.0,0.0,10
math_word_problems,high,5,1.0,0.0,10
math_word_problems,high,10,1.0,0.0,10
math_word_problems,medium,1,0.3,0.483,10
math_word_problems,medium,3,0.2,0.4216,10
math_word_problems,medium,5,0.2,0.4216,10
math_word_problems,medium,10,0.1,0.3162,10
math_word_problems,low,1,0.8,0.4216,10
math_word_problems,low,3,0.8,0.4216,10
math_word_problems,low,5,0.8,0.4216,10
math_word_problems,low,10,0.8,0.4216,10
text_summarization,high,1,0.9196,0.1495,10
text_summarization,high,3,0.9196,0.1495,10
text_summarization,high,5,0.9196,0.1495,10
text_summarization,high,10,0.9096,0.1554,10
text_summarization,medium,1,0.8063,0.1614,10
text_summarization,medium,3,0.7896,0.1814,10
text_summarization,medium,5,0.7913,0.1495,10
text_summarization,medium,10,0.7913,0.1495,10
text_summarization,low,1,0.8504,0.1068,10
text_summarization,low,3,0.8621,0.1941,10
text_summarization,low,5,0.8933,0.1751,10
text_summarization,low,10,0.7742,0.1696,10
sql_generation,high,1,0.975,0.0791,10
sql_generation,high,3,0.975,0.0791,10
sql_generation,high,5,0.975,0.0791,10
sql_generation,high,10,0.975,0.0791,10
sql_generation,medium,1,0.925,0.1687,10
sql_generation,medium,3,0.925,0.1687,10
sql_generation,medium,5,0.925,0.1687,10
sql_generation,medium,10,0.925,0.1687,10
sql_generation,low,1,0.95,0.1581,10
sql_generation,low,3,0.925,0.1687,10
sql_generation,low,5,0.925,0.1687,10
sql_generation,low,10,0.975,0.0791,10
